obj_value,feasibility,elapsed_time,num_iterations,penalty_method
223.3,True,2.5447402000427246,5000,slack
223.3,True,2.5090160369873047,5000,slack
242.3,True,2.6505815982818604,5000,slack
242.3,True,3.211717128753662,5000,slack
223.0,True,2.5716495513916016,5000,slack
242.3,True,2.7312283515930176,5000,slack
248.0,True,2.5480284690856934,5000,slack
215.0,True,2.726447105407715,5000,slack
269.0,True,2.579162359237671,5000,slack
215.0,True,2.8110406398773193,5000,slack
223.0,True,2.8011066913604736,5000,slack
223.3,True,2.875180721282959,5000,slack
215.0,True,2.819164276123047,5000,slack
223.3,True,2.7051267623901367,5000,slack
250.3,True,2.9133784770965576,5000,slack
250.3,True,2.6596195697784424,5000,slack
248.0,True,2.759733200073242,5000,slack
223.3,True,2.6893274784088135,5000,slack
256.0,True,2.8378946781158447,5000,slack
248.0,True,2.7137818336486816,5000,slack
223.0,True,3.2182095050811768,5000,slack
256.0,True,2.9796130657196045,5000,slack
269.0,True,2.6657564640045166,5000,slack
256.0,True,2.7599635124206543,5000,slack
215.3,True,2.564875364303589,5000,slack
223.0,True,2.747466802597046,5000,slack
242.3,True,2.6037771701812744,5000,slack
242.3,True,2.771061420440674,5000,slack
242.3,True,2.6227335929870605,5000,slack
223.3,True,2.7631211280822754,5000,slack
215.0,True,2.738400459289551,5000,slack
215.3,True,2.8953402042388916,5000,slack
242.3,True,2.671419382095337,5000,slack
215.0,True,2.7634105682373047,5000,slack
256.0,True,2.649991273880005,5000,slack
250.3,True,2.6388630867004395,5000,slack
248.0,True,2.5263874530792236,5000,slack
250.3,True,2.70880126953125,5000,slack
250.3,True,2.737691640853882,5000,slack
242.3,True,3.0842385292053223,5000,slack
263.3,True,2.800797939300537,5000,slack
248.0,True,2.855527877807617,5000,slack
248.0,True,3.2936527729034424,5000,slack
215.3,True,2.6242785453796387,5000,slack
256.0,True,2.815516233444214,5000,slack
263.3,True,2.658003091812134,5000,slack
242.3,True,2.749986171722412,5000,slack
215.0,True,2.6612906455993652,5000,slack
